op  nemo  opr      #  ~  b  indir
9F  BXA   abs      3  3  0  1
A0  SUBZ  R0       1  2  0  0
A1  SUBZ  R1       1  2  0  0
A2  SUBZ  R2       1  2  0  0
A3  SUBZ  R3       1  2  0  0
A4  SUBI  R0,nn    2  2  0  0
A5  SUBI  R1,nn    2  2  0  0
A6  SUBI  R2,nn    2  2  0  0
A7  SUBI  R3,nn    2  2  0  0
A8  SUBR  R0,rel   2  3  1  1
A9  SUBR  R1,rel   2  3  1  1
AA  SUBR  R2,rel   2  3  1  1
AB  SUBR  R3,rel   2  3  1  1
AC  SUBA  R0,abs   3  4  1  1
AD  SUBA  R1,abs   3  4  1  1
AE  SUBA  R2,abs   3  4  1  1
AF  SUBA  R3,abs   3  4  1  1
B0  WRTC  R0       1  2  1  0
B1  WRTC  R1       1  2  1  0
B2  WRTC  R2       1  2  1  0
B3  WRTC  R3       1  2  1  0
B4  TPSU  nn       2  3  0  0
B5  TPSL  nn       2  3  0  0
B6  -     -        0  0  0  0
B7  -     -        0  0  0  0
B8  BSFR  EQ,rel   2  3  0  1
B9  BSFR  GT,rel   2  3  0  1
BA  BSFR  LT,rel   2  3  0  1
BB  ZBSR  rel      2  3  0  1
BC  BSFA  EQ,abs   3  3  0  1
BD  BSFA  GT,abs   3  3  0  1
BE  BSFA  LT,abs   3  3  0  1
BF  BSXA  abs      3  3  0  1
C0  NOP   -        1  2  0  0
C1  STRZ  R1       1  2  0  0
C2  STRZ  R2       1  2  0  0
C3  STRZ  R3       1  2  0  0
C4  -     -        0  0  0  0
C5  -     -        0  0  0  0
C6  -     -        0  0  0  0
C7  -     -        0  0  0  0
C8  STRR  R0,rel   2  3  1  1
C9  STRR  R1,rel   2  3  1  1
CA  STRR  R2,rel   2  3  1  1
CB  STRR  R3,rel   2  3  1  1
CC  STRA  R0,abs   3  4  1  1
CD  STRA  R1,abs   3  4  1  1
CE  STRA  R2,abs   3  4  1  1
CF  STRA  R3,abs   3  4  1  1
D0  RRL   R0       1  2  0  0
D1  RRL   R1       1  2  0  0
D2  RRL   R2       1  2  0  0
D3  RRL   R3       1  2  0  0
D4  WRTE  R0,io    2  3  1  0
D5  WRTE  R1,io    2  3  1  0
D6  WRTE  R2,io    2  3  1  0
D7  WRTE  R3,io    2  3  1  0
D8  BIRR  R0,rel   2  3  0  1
D9  BIRR  R1,rel   2  3  0  1
DA  BIRR  R2,rel   2  3  0  1
DB  BIRR  R3,rel   2  3  0  1
