op mnem operand # bus               true_seq              false_seq
-- ---- ------- - ---               --------              ---------
00 -    -       0 -                 -                     -
01 -    -       0 -                 -                     -
02 -    -       0 -                 -                     -
03 -    -       0 -                 -                     -
04 -    -       0 -                 -                     -
05 -    -       0 -                 -                     -
06 -    -       0 -                 -                     -
07 -    -       0 -                 -                     -
08 -    -       0 -                 -                     -
09 -    -       0 -                 -                     -
0A -    -       0 -                 -                     -
0B -    -       0 -                 -                     -
0C -    -       0 -                 -                     -
0D -    -       0 -                 -                     -
0E -    -       0 -                 -                     -
0F -    -       0 -                 -                     -
10 RLD  (gg)    1 7RNW              7:R:d:d:N:W           -
11 RRD  (gg)    1 7RNW              7:R:d:d:N:W           -
12 MUL  HL,(gg) 1 7RN               7:R:d:d:d:d:d:d:N     -
13 DIV  HL,(gg) 1 7RN               7:R:d:d:d:d:d:d:N     -
14 ADD  IX,(gg) 1 7RrN              7:R:r:N               -
15 ADD  IY,(gg) 1 7RrN              7:R:r:N               -
16 ADD  SP,(gg) 1 7RrN              7:R:r:N               -
17 -    -       0 -                 -                     -
18 TSET 0,(gg)  1 7RNW              7:R:N:d:d:W           -
19 TSET 1,(gg)  1 7RNW              7:R:N:d:d:W           -
1A TSET 2,(gg)  1 7RNW              7:R:N:d:d:W           -
1B TSET 3,(gg)  1 7RNW              7:R:N:d:d:W           -
1C TSET 4,(gg)  1 7RNW              7:R:N:d:d:W           -
1D TSET 5,(gg)  1 7RNW              7:R:N:d:d:W           -
1E TSET 6,(gg)  1 7RNW              7:R:N:d:d:W           -
1F TSET 7,(gg)  1 7RNW              7:R:N:d:d:W           -
20 -    -       0 -                 -                     -
21 -    -       0 -                 -                     -
22 -    -       0 -                 -                     -
23 -    -       0 -                 -                     -
24 -    -       0 -                 -                     -
25 -    -       0 -                 -                     -
26 -    -       0 -                 -                     -
27 -    -       0 -                 -                     -
28 LD   B,(gg)  1 7RN               7:R:N                 -
29 LD   C,(gg)  1 7RN               7:R:N                 -
2A LD   D,(gg)  1 7RN               7:R:N                 -
2B LD   E,(gg)  1 7RN               7:R:N                 -
2C LD   H,(gg)  1 7RN               7:R:N                 -
2D LD   L,(gg)  1 7RN               7:R:N                 -
2E LD   A,(gg)  1 7RN               7:R:N                 -
2F -    -       0 -                 -                     -
