op mnem operand # bus               true_seq              false_seq
-- ---- ------- - ---               --------              ---------
00 -    -       0 -                 -                     -
01 -    -       0 -                 -                     -
02 -    -       0 -                 -                     -
03 -    -       0 -                 -                     -
04 -    -       0 -                 -                     -
05 -    -       0 -                 -                     -
06 -    -       0 -                 -                     -
07 -    -       0 -                 -                     -
08 -    -       0 -                 -                     -
09 -    -       0 -                 -                     -
0A -    -       0 -                 -                     -
0B -    -       0 -                 -                     -
0C -    -       0 -                 -                     -
0D -    -       0 -                 -                     -
0E -    -       0 -                 -                     -
0F -    -       0 -                 -                     -
10 -    -       0 -                 -                     -
11 -    -       0 -                 -                     -
12 MUL  HL,g    1 7nN               7:n:d:d:d:d:d:d:N     -
13 DIV  HL,g    1 7nN               7:n:d:d:d:d:d:d:N     -
14 ADD  IX,gg   1 7N                7:N:d:d               -
15 ADD  IY,gg   1 7N                7:N:d:d               -
16 ADD  SP,gg   1 7N                7:N:d:d               -
17 -    -       0 -                 -                     -
18 TSET 0,g     1 7N                7:N:d:d               -
19 TSET 1,g     1 7N                7:N:d:d               -
1A TSET 2,g     1 7N                7:N:d:d               -
1B TSET 3,g     1 7N                7:N:d:d               -
1C TSET 4,g     1 7N                7:N:d:d               -
1D TSET 5,g     1 7N                7:N:d:d               -
1E TSET 6,g     1 7N                7:N:d:d               -
1F TSET 7,g     1 7N                7:N:d:d               -
20 -    -       0 -                 -                     -
21 -    -       0 -                 -                     -
22 -    -       0 -                 -                     -
23 -    -       0 -                 -                     -
24 -    -       0 -                 -                     -
25 -    -       0 -                 -                     -
26 -    -       0 -                 -                     -
27 -    -       0 -                 -                     -
28 -    -       0 -                 -                     -
29 -    -       0 -                 -                     -
2A -    -       0 -                 -                     -
2B -    -       0 -                 -                     -
2C -    -       0 -                 -                     -
2D -    -       0 -                 -                     -
2E -    -       0 -                 -                     -
2F -    -       0 -                 -                     -
30 LD   B,g     1 7N                7:N                   -
31 LD   C,g     1 7N                7:N                   -
32 LD   D,g     1 7N                7:N                   -
33 LD   E,g     1 7N                7:N                   -
34 LD   H,g     1 7N                7:N                   -
35 LD   L,g     1 7N                7:N                   -
36 LD   A,g     1 7N                7:N                   -
37 -    -       0 -                 -                     -
38 LD   BC,gg   1 7N                7:N:d                 -
39 LD   DE,gg   1 7N                7:N:d                 -
