OP      MNEM    OPR     ~       #       ex-bus  stack
A8      LD      r10,R   6       2       0	0
A9      LD      R,r10   6       2       0	0
AA      DJNZ    r10,RA  10/12   2       0	0
AB      JR      GT,RA   10/12   2       0	0
AC      LD      r10,IM  6       2       0	0
AD      JP      GT,DA   10/12   3       0	0
AE      INC     r10     6       1       0	0
AF      RET     -       14      1	1	2       fetch as 2-byte
B0      CLR     R       6       2	0	0
B1      CLR     IR      6       2	0	0
B2      XOR     r,r     6       2	0	0
B3      XOR     r,Ir    6       2	0	0
B4      XOR     R,R     10      3	0	0
B5      XOR     R.IR    10      3	0	0
B6      XOR     R,IM    10      3	0	0
B7      XOR     IR,IM   10      3	0	0
B8      LD      r11,R   6       2       0	0
B9      LD      R,r11   6       2       0	0
BA      DJNZ    r11,RA  10/12   2       0	0
BB      JR      UGT,RA  10/12   2       0	0
BC      LD      r11,IM  6       2       0	0
BD      JP      UGT,DA  10/12   3       0	0
BE      INC     r11     6       1       0	0
BF      IRET    -       16      1	1	3       fetch as 2-byte
C0      RRC     R       6       2	0	0
C1      RRC     IR      6       2	0	0
C2      LDC     r,Irr   12      2	1	0
C3      LDCI    Ir,Irr  18      2	1	0
C4      -	-	0	0	0	0
C5      -	-	0	0	0	0
C6      -	-	0	0	0	0
C7      LD      r,X     10      3	0	0
C8      LD      r12,R   6       2       0	0
C9      LD      R,r12   6       2       0	0
CA      DJNZ    r12,RA  10/12   2       0	0
CB      JR      NOV,RA  10/12   2       0	0
CC      LD      r12,IM  6       2       0	0
CD      JP      NOV,DA  10/12   3       0	0
CE      INC     r12     6       1       0	0
CF      RCF     -       6       1	0	0
D0      SRA     R       6       2	0	0
D1      SRA     IR      6       2	0	0
D2      LDC     Irr,r   12      2	1	0
D3      LDCI    Irr,Ir  18      2	1	0
D4      CALL    IRR     20      2	1	2       fetch as 3-byte
D5      -       -       0       0       0       0
D6      CALL    DA      20      3	0	2
D7      LD      X,r     10      3	0	0
D8      LD      r13,R   6       2       0	0
D9      LD      R,r13   6       2       0	0
DA      DJNZ    r13,RA  10/12   2       0	0
DB      JR      PL,RA   10/12   2       0	0
DC      LD      r13,IM  6       2       0	0
DD      JP      PL,DA   10/12   3       0	0
DE      INC     r13     6       1       0	0
DF      SCF     -       6       1	0	0
E0      RR      R       6       2	0	0
E1      RR      IR      6       2	0	0
E2      -	-	0	0	0	0
E3      LD      r,Ir    6       2	0	0
E4      LD      R,R     10      3	0	0
E5      LD      R,IR    10      3	0	0
E6      LD      R,IM    10      3	0	0
E7      LD      IR,IM   10      3	0	0
E8      LD      r14,R   6       2       0	0
E9      LD      R,r14   6       2       0	0
EA      DJNZ    r14,RA  10/12   2       0	0
EB      JR      NE,RA   10/12   2       0	0
EC      LD      r14,IM  6       2       0	0
ED      JP      NE,DA   10/12   3       0	0
EE      INC     r14     6       1       0	0
EF      CCF     -       6       1	0	0
F0      SWAP    R       8       2	0	0
F1      SWAP    IR      8       2	0	0
F2      -	-	0	0	0	0
F3      LD      Ir,r    6       2	0	0
F4      -	-	0	0	0	0
F5      LD      IR,R    10      3	0	0
F6      -	-	0	0	0	0
F7      -	-	0	0	0	0
F8      LD      r15,R   6       2       0	0
F9      LD      R,rr5   6       2       0	0
FA      DJNZ    r15,RA  10/12   2       0	0
FB      JR      NC,RA   10/12   2       0	0
FC      LD      r15,IM  6       2       0	0
FD      JP      NC,DA   10/12   3       0	0
FE      INC     r15     6       1       0	0
FF      NOP     -       6       1	0	0
