OP      MNEM    OPR     ~       #       BUS     RW
C4      LDI     n       10      2       2       RR
C5      LD      @d(P1)  18      2       3       RRR
C6      LD      @d(P2)  18      2       3       RRR
C7      LD      @d(P3)  18      2       3       RRR
C8      ST      addr    18      2       3       RRW
C9      ST      d(P1)   18      2       3       RRW
CA      ST      d(P2)   18      2       3       RRW
CB      ST      d(P3)   18      2       3       RRW
CC      -       -       -       -       -       -
CD      ST      @d(P1)  18      2       3       RRW
CE      ST      @d(P2)  18      2       3       RRW
CF      ST      @d(P3)  18      2       3       RRW
D0      AND     addr    18      2       3       RRR
D1      AND     d(P1)   18      2       3       RRR
D2      AND     d(P2)   18      2       3       RRR
D3      AND     d(P3)   18      2       3       RRR
D4      ANI     n       11      2       2       RR
D5      AND     @d(P1)  18      2       3       RRR
D6      AND     @d(P2)  18      2       3       RRR
D7      AND     @d(P3)  18      2       3       RRR
D8      OR      addr    18      2       3       RRR
D9      OR      d(P1)   18      2       3       RRR
DA      OR      d(P2)   18      2       3       RRR
DB      OR      d(P3)   18      2       3       RRR
DC      ORI     n       10      2       2       RR
DD      OR      @d(P1)  18      2       3       RRR
DE      OR      @d(P2)  18      2       3       RRR
DF      OR      @d(P3)  18      2       3       RRR
E0      XOR     addr    18      2       3       RRR
E1      XOR     d(P1)   18      2       3       RRR
E2      XOR     d(P2)   18      2       3       RRR
E3      XOR     d(P3)   18      2       3       RRR
E4      XRI     n       10      2       2       RR
E5      XOR     @d(P1)  18      2       3       RRR
E6      XOR     @d(P2)  18      2       3       RRR
E7      XOR     @d(P3)  18      2       3       RRR
E8      DAD     addr    23      2       3       RRR
E9      DAD     d(P1)   23      2       3       RRR
EA      DAD     d(P2)   23      2       3       RRR
EB      DAD     d(P3)   23      2       3       RRR
EC      DAI     n       15      2       2       RR
ED      DAD     @d(P1)  23      2       3       RRR
EE      DAD     @d(P2)  23      2       3       RRR
EF      DAD     @d(P3)  23      2       3       RRR
F0      ADD     addr    19      2       3       RRR
F1      ADD     d(P1)   19      2       3       RRR
F2      ADD     d(P2)   19      2       3       RRR
F3      ADD     d(P3)   19      2       3       RRR
F4      ADI     n       11      2       2       RR
F5      ADD     @d(P1)  19      2       3       RRR
F6      ADD     @d(P2)  19      2       3       RRR
F7      ADD     @d(P3)  19      2       3       RRR
F8      CAD     addr    20      2       3       RRR
F9      CAD     d(P1)   20      2       3       RRR
FA      CAD     d(P2)   20      2       3       RRR
FB      CAD     d(P3)   20      2       3       RRR
FC      CAI     n       12      2       2       RR
FD      CAD     @d(P1)  20      2       3       RRR
FE      CAD     @d(P2)  20      2       3       RRR
FF      CAD     @d(P3)  20      2       3       RRR
