op  nemo       oper    ~      #     sequence
60  NEG        ix      6+     2     1:2:Y:R:x:W:N
61  OIM        #,ix    7+     3+    1:2:3:Y:R:x:W:N
62  AIM        #,ix    7+     3+    1:2:3:Y:R:x:W:N
63  COM        ix      6+     2+    1:2:Y:R:x:W:N
64  LSR        ix      6+     2+    1:2:Y:R:x:W:N
65  EIM        #,ix    7+     3+    1:2:3:Y:R:x:W:N
66  ROR        ix      6+     2+    1:2:Y:R:x:W:N
67  ASR        ix      6+     2+    1:2:Y:R:x:W:N
68  ASL        ix      6+     2+    1:2:Y:R:x:W:N
69  ROL        ix      6+     2+    1:2:Y:R:x:W:N
6A  DEC        ix      6+     2+    1:2:Y:R:x:W:N
6B  TIM        #,ix    5+     3+    1:2:3:Y:R:N
6C  INC        ix      6+     2+    1:2:Y:R:x:W:N
6D  TST        ix      6+/5+  2+    1:2:Y:R:x:x:N/1:2:Y:R:x:N
6E  JMP        ix      3+     2+    1:2:Y:i
6F  CLR        ix      6+     2+    1:2:Y:R:x:W:N
70  NEG        a16     7/6    3     1:2:3:x:A:x:B:N/1:2:3:R:x:W:N
71  OIM        #,a16   7      4     1:2:3:4:A:x:B:N
72  AIM        #,a16   7      4     1:2:3:4:A:x:B:N
73  COM        a16     7/6    3     1:2:3:x:A:x:B:N/1:2:3:R:x:W:N
74  LSR        a16     7/6    3     1:2:3:x:A:x:B:N/1:2:3:R:x:W:N
75  EIM        #,a16   7      4     1:2:3:4:A:x:B:N
76  ROR        a16     7/6    3     1:2:3:x:A:x:B:N/1:2:3:R:x:W:N
77  ASR        a16     7/6    3     1:2:3:x:A:x:B:N/1:2:3:R:x:W:N
78  ASL        a16     7/6    3     1:2:3:x:A:x:B:N/1:2:3:R:x:W:N
79  ROL        a16     7/6    3     1:2:3:x:A:x:B:N/1:2:3:R:x:W:N
7A  DEC        a16     7/6    3     1:2:3:x:A:x:B:N/1:2:3:R:x:W:N
7B  TIM        #,a16   5      4     1:2:3:4:A:N
7C  INC        a16     7/6    3     1:2:3:x:A:x:B:N/1:2:3:R:x:W:N
7D  TST        a16     7/5    3     1:2:3:x:A:x:x:N/1:2:3:R:x:N
7E  JMP        a16     4/3    3     1:2:3:x:J/1:2:3:J
7F  CLR        a16     7/6    3     1:2:3:x:A:x:B:N/1:2:3:R:x:W:N
80  SUBA       #n8     2      2     1:2:N
81  CMPA       #n8     2      2     1:2:N
82  SBCA       #n8     2      2     1:2:N
83  SUBD       #n16    4/3    3     1:2:3:x:N/1:2:3:N
84  ANDA       #n8     2      2     1:2:N
85  BITA       #n8     2      2     1:2:N
86  LDA        #n8     2      2     1:2:N
87  -          -       -      -     -
88  EORA       #n8     2      2     1:2:N
89  ADCA       #n8     2      2     1:2:N
8A  ORA        #n8     2      2     1:2:N
8B  ADDA       #n8     2      2     1:2:N
8C  CMPX       #n16    4/3    3     1:2:3:x:N/1:2:3:N
8D  BSR        r8      7/6    2     1:2:x:X:x:w:W:j/1:2:x:x:w:W:j
8E  LDX        #n16    3      3     1:2:3:N
8F  -          -       -      -     -
90  SUBA       d8      4/3    2     1:2:x:R:N/1:2:R:N
91  CMPA       d8      4/3    2     1:2:x:R:N/1:2:R:N
92  SBCA       d8      4/3    2     1:2:x:R:N/1:2:R:N
93  SUBD       d8      6/4    2     1:2:x:R:r:x:N/1:2:R:r:N
94  ANDA       d8      4/3    2     1:2:x:R:N/1:2:R:N
95  BITA       d8      4/3    2     1:2:x:R:N/1:2:R:N
96  LDA        d8      4/3    2     1:2:x:R:N/1:2:R:N
97  STA        d8      4/3    2     1:2:x:W:N/1:2:W:N
98  EORA       d8      4/3    2     1:2:x:R:N/1:2:R:N
99  ADCA       d8      4/3    2     1:2:x:R:N/1:2:R:N
9A  ORA        d8      4/3    2     1:2:x:R:N/1:2:R:N
9B  ADDA       d8      4/3    2     1:2:x:R:N/1:2:R:N
9C  CMPX       d8      6/4    2     1:2:x:R:r:x:N/1:2:R:r:N
9D  JSR        d8      7/6    2     1:2:x:X:x:w:W:i/1:2:x:X:w:W:i
9E  LDX        d8      5/4    2     1:2:x:R:r:N/1:2:R:r:N
9F  STX        d8      5/4    2     1:2:x:W:w:N/1:2:W:w:N
A0  SUBA       ix      4+     2+    1:2:Y:R:N
A1  CMPA       ix      4+     2+    1:2:Y:R:N
A2  SBCA       ix      4+     2+    1:2:Y:R:N
A3  SUBD       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
A4  ANDA       ix      4+     2+    1:2:Y:R:N
A5  BITA       ix      4+     2+    1:2:Y:R:N
A6  LDA        ix      4+     2+    1:2:Y:R:N
A7  STA        ix      4+     2+    1:2:Y:W:N
A8  EORA       ix      4+     2+    1:2:Y:R:N
A9  ADCA       ix      4+     2+    1:2:Y:R:N
AA  ORA        ix      4+     2+    1:2:Y:R:N
AB  ADDA       ix      4+     2+    1:2:Y:R:N
AC  CMPX       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
AD  JSR        ix      7+/6+  2+    1:2:Y:X:x:w:W:i/1:2:Y:X:w:W:i
AE  LDX        ix      5+     2+    1:2:Y:R:r:N
AF  STX        ix      5+     2+    1:2:Y:W:w:N
B0  SUBA       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
B1  CMPA       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
B2  SBCA       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
B3  SUBD       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
B4  ANDA       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
B5  BITA       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
B6  LDA        a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
B7  STA        a16     5/4    3     1:2:3:x:W:N/1:2:3:W:N
B8  EORA       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
B9  ADCA       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
BA  ORA        a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
BB  ADDA       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
BC  CMPX       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
BD  JSR        a16     8/7    3     1:2:3:x:A:x:w:W:J/1:2:3:x:A:w:W:J
BE  LDX        a16     6/5    3     1:2:3:x:A:a:N/1:2:3:A:a:N
BF  STX        a16     6/5    3     1:2:3:x:W:w:N/1:2:3:W:w:N
C0  SUBB       #n8     2      2     1:2:N
C1  CMPB       #n8     2      2     1:2:N
C2  SBCB       #n8     2      2     1:2:N
C3  ADDD       #n16    4/3    3     1:2:3:x:N/1:2:3:N
C4  ANDB       #n8     2      2     1:2:N
C5  BITB       #n8     2      2     1:2:N
C6  LDB        #n8     2      2     1:2:N
C7  -          -       -      -     -
C8  EORB       #n8     2      2     1:2:N
C9  ADCB       #n8     2      2     1:2:N
CA  ORB        #n8     2      2     1:2:N
CB  ADDB       #n8     2      2     1:2:N
CC  LDD        #n16    3      3     1:2:3:N
CD  LDQ        #n32    5      5     1:2:3:4:5:N
CE  LDU        #n16    3      3     1:2:3:N
CF  -          -       -      -     -
D0  SUBB       d8      4/3    2     1:2:x:R:N/1:2:R:N
D1  CMPB       d8      4/3    2     1:2:x:R:N/1:2:R:N
D2  SBCB       d8      4/3    2     1:2:x:R:N/1:2:R:N
D3  ADDD       d8      6/4    2     1:2:x:R:r:x:N/1:2:R:r:N
D4  ANDB       d8      4/3    2     1:2:x:R:N/1:2:R:N
D5  BITB       d8      4/3    2     1:2:x:R:N/1:2:R:N
D6  LDB        d8      4/3    2     1:2:x:R:N/1:2:R:N
D7  STB        d8      4/3    2     1:2:x:W:N/1:2:W:N
D8  EORB       d8      4/3    2     1:2:x:R:N/1:2:R:N
D9  ADCB       d8      4/3    2     1:2:x:R:N/1:2:R:N
DA  ORB        d8      4/3    2     1:2:x:R:N/1:2:R:N
DB  ADDB       d8      4/3    2     1:2:x:R:N/1:2:R:N
DC  LDD        d8      5/4    2     1:2:x:R:r:N/1:2:R:r:N
DD  STD        d8      5/4    2     1:2:x:W:w:N/1:2:W:w:N
DE  LDU        d8      5/4    2     1:2:x:R:r:N/1:2:R:r:N
DF  STU        d8      5/4    2     1:2:x:W:w:N/1:2:W:w:N
E0  SUBB       ix      4+     2+    1:2:Y:R:N
E1  CMPB       ix      4+     2+    1:2:Y:R:N
E2  SBCB       ix      4+     2+    1:2:Y:R:N
E3  ADDD       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
E4  ANDB       ix      4+     2+    1:2:Y:R:N
E5  BITB       ix      4+     2+    1:2:Y:R:N
E6  LDB        ix      4+     2+    1:2:Y:R:N
E7  STB        ix      4+     2+    1:2:Y:W:N
E8  EORB       ix      4+     2+    1:2:Y:R:N
E9  ADCB       ix      4+     2+    1:2:Y:R:N
EA  ORB        ix      4+     2+    1:2:Y:R:N
EB  ADDB       ix      4+     2+    1:2:Y:R:N
EC  LDD        ix      5+     2+    1:2:Y:R:r:N
ED  STD        ix      5+     2+    1:2:Y:W:w:N
EE  LDU        ix      5+     2+    1:2:Y:R:r:N
EF  STU        ix      5+     2+    1:2:Y:W:w:N
F0  SUBB       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
F1  CMPB       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
F2  SBCB       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
F3  ADDD       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
F4  ANDB       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
F5  BITB       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
F6  LDB        a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
F7  STB        a16     5/4    3     1:2:3:x:B:N/1:2:3:B:N
F8  EORB       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
F9  ADCB       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
FA  ORB        a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
FB  ADDB       a16     5/4    3     1:2:3:x:A:N/1:2:3:A:N
FC  LDD        a16     6/5    3     1:2:3:x:A:a:N/1:2:3:A:a:N
FD  STD        a16     6/5    3     1:2:3:x:B:b:N/1:2:3:B:b:N
FE  LDU        a16     6/5    3     1:2:3:x:A:a:N/1:2:3:A:a:N
FF  STU        a16     6/5    3     1:2:3:x:B:b:N/1:2:3:B:b:N
