op  nemo       oper    ~      #     sequence
92  SBCD       d8      6/4    2     1:2:x:R:r:x:N/1:2:R:r:N
93  CMPD       d8      6/4    2     1:2:x:R:r:x:N/1:2:R:r:N
94  ANDD       d8      6/4    2     1:2:x:R:r:x:N/1:2:R:r:N
95  BITD       d8      6/4    2     1:2:x:R:r:x:N/1:2:R:r:N
96  LDW        d8      5/4    2     1:2:x:R:r:N/1:2:R:r:N
97  STW        d8      5/4    2     1:2:x:W:w:N/1:2:W:w:N
98  EORD       d8      6/4    2     1:2:x:R:r:x:N/1:2:R:r:N
99  ADCD       d8      6/4    2     1:2:x:R:r:x:N/1:2:R:r:N
9A  ORD        d8      6/4    2     1:2:x:R:r:x:N/1:2:R:r:N
9B  ADDW       d8      6/4    2     1:2:x:R:r:x:N/1:2:R:r:N
9C  CMPY       d8      6/4    2     1:2:x:R:r:x:N/1:2:R:r:N
9D  -          -       -      -     -
9E  LDY        d8      5/4    2     1:2:x:R:r:N/1:2:R:r:N
9F  STY        d8      5/4    2     1:2:x:W:w:N/1:2:W:w:N
A0  SUBW       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
A1  CMPW       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
A2  SBCD       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
A3  CMPD       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
A4  ANDD       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
A5  BITD       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
A6  LDW        ix      5+     2+    1:2:Y:R:r:N
A7  STW        ix      5+     2+    1:2:Y:W:w:N
A8  EORD       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
A9  ADCD       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
AA  ORD        ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
AB  ADDW       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
AC  CMPY       ix      6+/5+  2+    1:2:Y:R:r:x:N/1:2:Y:R:r:N
AD  -          -       -      -     -
AE  LDY        ix      5+     2+    1:2:Y:R:r:N
AF  STY        ix      5+     2+    1:2:Y:W:w:N
B0  SUBW       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
B1  CMPW       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
B2  SBCD       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
B3  CMPD       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
B4  ANDD       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
B5  BITD       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
B6  LDW        a16     6/5    3     1:2:3:x:A:a:N/1:2:3:A:a:N
B7  STW        a16     6/5    3     1:2:3:x:B:b:N/1:2:3:B:b:N
B8  EORD       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
B9  ADCD       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
BA  ORD        a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
BB  ADDW       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
BC  CMPY       a16     7/5    3     1:2:3:x:A:a:x:N/1:2:3:A:a:N
BD  -          -       -      -     -
BE  LDY        a16     6/5    3     1:2:3:x:A:a:N/1:2:3:A:a:N
BF  STY        a16     6/5    3     1:2:3:x:B:b:N/1:2:3:B:b:N
C0  -          -       -      -     -
C1  -          -       -      -     -
C2  -          -       -      -     -
C3  -          -       -      -     -
C4  -          -       -      -     -
C5  -          -       -      -     -
C6  -          -       -      -     -
C7  -          -       -      -     -
C8  -          -       -      -     -
C9  -          -       -      -     -
CA  -          -       -      -     -
CB  -          -       -      -     -
CC  -          -       -      -     -
CD  -          -       -      -     -
CE  LDS        #16     3      3     1:2:3:N
CF  -          -       -      -     -
D0  -          -       -      -     -
D1  -          -       -      -     -
D2  -          -       -      -     -
D3  -          -       -      -     -
D4  -          -       -      -     -
D5  -          -       -      -     -
D6  -          -       -      -     -
D7  -          -       -      -     -
D8  -          -       -      -     -
D9  -          -       -      -     -
DA  -          -       -      -     -
DB  -          -       -      -     -
DC  LDQ        d8      7/6    2     1:2:x:R:r:r:r:N/1:2:R:r:r:r:N
DD  STQ        d8      7/6    2     1:2:x:W:w:w:w:N/1:2:W:w:w:w:N
DE  LDS        d8      5/4    2     1:2:x:R:r:N/1:2:R:r:N
DF  STS        d8      5/4    2     1:2:x:W:w:N/1:2:W:w:N
E0  -          -       -      -     -
E1  -          -       -      -     -
E2  -          -       -      -     -
E3  -          -       -      -     -
E4  -          -       -      -     -
E5  -          -       -      -     -
E6  -          -       -      -     -
E7  -          -       -      -     -
E8  -          -       -      -     -
E9  -          -       -      -     -
EA  -          -       -      -     -
EB  -          -       -      -     -
EC  LDQ        ix      7+     2+    1:2:Y:R:r:r:r:N
ED  STQ        ix      7+     2+    1:2:Y:W:w:w:w:N
EE  LDS        ix      5+     2+    1:2:Y:R:r:N
EF  STS        ix      5+     2+    1:2:Y:W:w:N
F0  -          -       -      -     -
F1  -          -       -      -     -
F2  -          -       -      -     -
F3  -          -       -      -     -
F4  -          -       -      -     -
F5  -          -       -      -     -
F6  -          -       -      -     -
F7  -          -       -      -     -
F8  -          -       -      -     -
F9  -          -       -      -     -
FA  -          -       -      -     -
FB  -          -       -      -     -
FC  LDQ        a16     8/7    2     1:2:3:x:A:a:a:a:N/1:2:3:A:a:a:a:N
FD  STQ        a16     8/7    2     1:2:3:x:B:b:b:b:N/1:2:3:B:b:b:b:N
FE  LDS        a16     6/5    3     1:2:3:x:A:a:N/1:2:3:A:a:N
FF  STS        a16     6/5    3     1:2:3:x:B:b:N/1:2:3:B:b:N
