op  nemo       oper    ~      #     sequence
CA  -          -       -      -     -
CB  -          -       -      -     -
CC  -          -       -      -     -
CD  -          -       -      -     -
CE  LDS        #16     3      3     1:2:3:N
CF  -          -       -      -     -
D0  -          -       -      -     -
D1  -          -       -      -     -
D2  -          -       -      -     -
D3  -          -       -      -     -
D4  -          -       -      -     -
D5  -          -       -      -     -
D6  -          -       -      -     -
D7  -          -       -      -     -
D8  -          -       -      -     -
D9  -          -       -      -     -
DA  -          -       -      -     -
DB  -          -       -      -     -
DC  -          -       -      -     -
DD  -          -       -      -     -
DE  LDS        d8      5      2     1:2:x:R:r:N
DF  STS        d8      5      2     1:2:x:W:w:N
E0  -          -       -      -     -
E1  -          -       -      -     -
E2  -          -       -      -     -
E3  -          -       -      -     -
E4  -          -       -      -     -
E5  -          -       -      -     -
E6  -          -       -      -     -
E7  -          -       -      -     -
E8  -          -       -      -     -
E9  -          -       -      -     -
EA  -          -       -      -     -
EB  -          -       -      -     -
EC  -          -       -      -     -
ED  -          -       -      -     -
EE  LDS        ix      5+     2+    1:2:Y:R:r:N
EF  STS        ix      5+     2+    1:2:Y:W:w:N
F0  -          -       -      -     -
F1  -          -       -      -     -
F2  -          -       -      -     -
F3  -          -       -      -     -
F4  -          -       -      -     -
F5  -          -       -      -     -
F6  -          -       -      -     -
F7  -          -       -      -     -
F8  -          -       -      -     -
F9  -          -       -      -     -
FA  -          -       -      -     -
FB  -          -       -      -     -
FC  -          -       -      -     -
FD  -          -       -      -     -
FE  LDS        a16     6      3     1:2:3:x:A:a:N
FF  STS        a16     6      3     1:2:3:x:B:b:N
