op  nemo       oper    ~      #     sequence
A8  n8,Y       1       -      1     3:x
A9  n16,Y      4/3     -      2     3:4:x:x:x/3:4:x:x
AA  -          -       -      -     -
AB  D,Y        4/2     -      0     N:X:x:x:x/N:X:x
AC  n8,PCR     1       -      1     3:x
AD  n16,PCR    5/3     -      2     3:4:x:x:x:x/3:4:x:x
AE  -          -       -      -     -
AF  -          -       -      -     -
B0  -          -       -      -     -
B1  [,Y++]     6/5     -      0     N:x:x:x:R:r:x/N:x:x:R:r:x
B2  -          -       -      -     -
B3  [,--Y]     6/5     -      0     N:x:x:x:R:r:x/N:x:x:R:r:X
B4  [,Y]       3       -      0     N:R:r:x
B5  [B,Y]      4       -      0     N:x:R:r:x
B6  [A,Y]      4       -      0     N:x:R:r:x
B7  -          -       -      -     -
B8  [n8,Y]     4       -      1     3:x:R:r:x
B9  [n16,Y]    7/6     -      2     3:4:x:x:x:R:r:x/3:4:x:x:R:r:x
BA  -          -       -      -     -
BB  [D,Y]      7/5     -      0     N:X:x:x:x:R:r:x/N:X:x:R:r:x
BC  [n8,PCR]   4       -      1     3:x:R:r:x
BD  [n16,PCR]  8/6     -      2     3:4:x:x:x:x:R:r:x/3:4:x:x:R:r:x
BE  -          -       -      -     -
BF  -          -       -      -     -
C0  ,U+        1       -      0     N:x:x/N:x
C1  ,U++       3/2     -      0     N:x:x:x/N:x:x
C2  ,-U        2/1     -      0     N:x:x/N:x
C3  ,--U       3/2     -      0     N:x:x:x/N:x:x
C4  ,U         0       -      0     N
C5  B,U        1       -      0     N:x
C6  A,U        1       -      0     N:x
C7  -          -       -      -     -
C8  n8,U       1       -      1     3:x
C9  n16,U      4/3     -      2     3:4:x:x:x/3:4:x:x
CA  -          -       -      -     -
CB  D,U        4/2     -      0     N:X:x:x:x/N:X:x
CC  n8,PCR     1       -      1     3:x
CD  n16,PCR    5/3     -      2     3:4:x:x:x:x/3:4:x:x
CE  -          -       -      -     -
CF  -          -       -      -     -
D0  -          -       -      -     -
D1  [,U++]     6/5     -      0     N:x:x:x:R:r:x/N:x:x:R:r:x
D2  -          -       -      -     -
D3  [,--U]     6/5     -      0     N:x:x:x:R:r:x/N:x:x:R:r:X
D4  [,U]       3       -      0     N:R:r:x
D5  [B,U]      4       -      0     N:x:R:r:x
D6  [A,U]      4       -      0     N:x:R:r:x
D7  -          -       -      -     -
D8  [n8,U]     4       -      1     3:x:R:r:x
D9  [n16,U]    7/6     -      2     3:4:x:x:x:R:r:x/3:4:x:x:R:r:x
DA  -          -       -      -     -
DB  [D,U]      7/5     -      0     N:X:x:x:x:R:r:x/N:X:x:R:r:x
DC  [n8,PCR]   4       -      1     3:x:R:r:x
DD  [n16,PCR]  8/6     -      2     3:4:x:x:x:x:R:r:x/3:4:x:x:R:r:x
DE  -          -       -      -     -
DF  -          -       -      -     -
E0  ,S+        1       -      0     N:x:x/N:x
E1  ,S++       3/2     -      0     N:x:x:x/N:x:x
E2  ,-S        2/1     -      0     N:x:x/N:x
E3  ,--S       3/2     -      0     N:x:x:x/N:x:x
E4  ,S         0       -      0     N
E5  B,S        1       -      0     N:x
E6  A,S        1       -      0     N:x
E7  -          -       -      -     -
E8  n8,S       1       -      1     3:x
E9  n16,S      4/3     -      2     3:4:x:x:x/3:4:x:x
EA  -          -       -      -     -
EB  D,S        4/2     -      0     N:X:x:x:x/N:X:x
EC  n8,PCR     1       -      1     3:x
ED  n16,PCR    5/3     -      2     3:4:x:x:x:x/3:4:x:x
EE  -          -       -      -     -
EF  -          -       -      -     -
F0  -          -       -      -     -
F1  [,S++]     6/5     -      0     N:x:x:x:R:r:x/N:x:x:R:r:x
F2  -          -       -      -     -
F3  [,--S]     6/5     -      0     N:x:x:x:R:r:x/N:x:x:R:r:X
F4  [,S]       3       -      0     N:R:r:x
F5  [B,S]      4       -      0     N:x:R:r:x
F6  [A,S]      4       -      0     N:x:R:r:x
F7  -          -       -      -     -
F8  [n8,S]     4       -      1     3:x:R:r:x
F9  [n16,S]    7/6     -      2     3:4:x:x:x:R:r:x/3:4:x:x:R:r:x
FA  -          -       -      -     -
FB  [D,S]      7/5     -      0     N:X:x:x:x:R:r:x/N:X:x:R:r:x
FC  [n8,PCR]   4       -      1     3:x:R:r:x
FD  [n16,PCR]  8/6     -      2     3:4:x:x:x:x:R:r:x/3:4:x:x:R:r:x
FE  -          -       -      -     -
FF  -          -       -      -     -
