OP      MNEM    MODE    ~       #
E4      ANDB    IDX     4       2
E5      BITB    IDX     4       2
E6      LDAB    IDX     4       2
E7      STAB    IDX     4       2
E8      EORB    IDX     4       2
E9      ADCB    IDX     4       2
EA      ORAB    IDX     4       2
EB      ADDB    IDX     4       2
EC      LDD     IDX     5       2
ED      STD     IDX     5       2
EE      LDX     IDX     5       2
EF      STX     IDX     5       2
F0      SUBB    EXT     4       3
F1      CMPB    EXT     4       3
F2      SBCB    EXT     4       3
F3      ADDD    EXT     6       3
F4      ANDB    EXT     4       3
F5      BITB    EXT     4       3
F6      LDAB    EXT     4       3
F7      STAB    EXT     4       3
F8      EORB    EXT     4       3
F9      ADCB    EXT     4       3
FA      ORAB    EXT     4       3
FB      ADDB    EXT     4       3
FC      LDD     EXT     5       3
FD      STD     EXT     5       3
FE      LDX     EXT     5       3
FF      STX     EXT     5       3
