op nemo opr     # tbus    fbus    true_seq            false_seq
3C LD   IX,gg   1 N       -       N:d                 -
3D LD   IY,gg   1 N       -       N:d                 -
3E LD   SP,gg   1 N       -       N:d                 -
3F LDW  (gg),mn 3 NWw     -       2:3:N:W:w           -
40 LD   (gg),BC 1 NWw     -       N:W:w               -
41 LD   (gg),DE 1 NWw     -       N:W:w               -
42 LD   (gg),HL 1 NWw     -       N:W:w               -
43 -    -       0 -       -       -                   -
44 LD   (gg),IX 1 NWw     -       N:W:w               -
45 LD   (gg),IY 1 NWw     -       N:W:w               -
46 LD   (gg),SP 1 NWw     -       N:W:w               -
47 -    -       0 -       -       -                   -
48 -    -       0 -       -       -                   -
49 -    -       0 -       -       -                   -
4A -    -       0 -       -       -                   -
4B -    -       0 -       -       -                   -
4C -    -       0 -       -       -                   -
4D -    -       0 -       -       -                   -
4E -    -       0 -       -       -                   -
4F -    -       0 -       -       -                   -
50 -    -       0 -       -       -                   -
51 -    -       0 -       -       -                   -
52 -    -       0 -       -       -                   -
53 -    -       0 -       -       -                   -
54 -    -       0 -       -       -                   -
55 -    -       0 -       -       -                   -
56 -    -       0 -       -       -                   -
57 -    -       0 -       -       -                   -
58 -    -       0 -       -       -                   -
59 -    -       0 -       -       -                   -
5A -    -       0 -       -       -                   -
5B -    -       0 -       -       -                   -
5C -    -       0 -       -       -                   -
5D -    -       0 -       -       -                   -
5E -    -       0 -       -       -                   -
5F -    -       0 -       -       -                   -
60 -    -       0 -       -       -                   -
61 -    -       0 -       -       -                   -
62 -    -       0 -       -       -                   -
63 -    -       0 -       -       -                   -
64 -    -       0 -       -       -                   -
65 -    -       0 -       -       -                   -
66 -    -       0 -       -       -                   -
67 -    -       0 -       -       -                   -
68 ADD  (gg),n  2 RNW     -       2:R:N:W             -
69 ADC  (gg),n  2 RNW     -       2:R:N:W             -
6A SUB  (gg),n  2 RNW     -       2:R:N:W             -
6B SBC  (gg),n  2 RNW     -       2:R:N:W             -
