OP      MNEM    MODE    ~       #
69      ROL     IDX     7       2
6A      DEC     IDX     7       2
6B      -       -       0       0
6C      INC     IDX     7       2
6D      TST     IDX     7       2
6E      JMP     IDX     4       2
6F      CLR     IDX     7       2
70      NEG     EXT     6       3
71      -       -       0       0
72      -       -       0	0
73      COM     EXT     6       3
74      LSR     EXT     6       3
75      -       -       0       0
76      ROR     EXT     6       3
77      ASR     EXT     6       3
78      ASL     EXT     6       3
79      ROL     EXT     6       3
7A      DEC     EXT     6       3
7B      -       -       0       0
7C      INC     EXT     6       3
7D      TST     EXT     6       3
7E      JMP     EXT     3       3
7F      CLR     EXT     6       3
80      SUBA    IMM     2       2
81      CMPA    IMM     2       2
82      SBCA    IMM     2       2
83      -       -       0       0
84      ANDA    IMM     2       2
85      BITA    IMM     2       2
86      LDAA    IMM     2       2
87      -       -       0       0
88      EORA    IMM     2       2
89      ADCA    IMM     2       2
8A      ORAA    IMM     2       2
8B      ADDA    IMM     2       2
8C      CPX     IMM     3       3
8D      BSR     REL     8       2
8E      LDS     IMM     3       3
8F      -       -       0       0
90      SUBA    DIR     3       2
91      CMPA    DIR     3       2
92      SBCA    DIR     3       2
93      -       -       0       0
94      ANDA    DIR     3       2
95      BITA    DIR     3       2
96      LDAA    DIR     3       2
97      STAA    DIR     4       2
98      EORA    DIR     3       2
99      ADCA    DIR     3       2
9A      ORAA    DIR     3       2
9B      ADDA    DIR     3       2
9C      CPX     DIR     4       2
9D      -       -       0       0
9E      LDS     DIR     4       2
9F      STS     DIR     5       2
A0      SUBA    IDX     5       2
A1      CMPA    IDX     5       2
A2      SBCA    IDX     5       2
A3      -       -       0       0
A4      ANDA    IDX     5       2
A5      BITA    IDX     5       2
A6      LDAA    IDX     5       2
A7      STAA    IDX     6       2
A8      EORA    IDX     5       2
A9      ADCA    IDX     5       2
AA      ORAA    IDX     5       2
AB      ADDA    IDX     5       2
AC      CPX     IDX     6       2
AD      JSR     IDX     8       2
AE      LDS     IDX     6       2
AF      STS     IDX     7       2
B0      SUBA    EXT     4       3
B1      CMPA    EXT     4       3
B2      SBCA    EXT     4       3
B3      -       -       0       0
B4      ANDA    EXT     4       3
B5      BITA    EXT     4       3
B6      LDAA    EXT     4       3
B7      STAA    EXT     5       3
B8      EORA    EXT     4       3
B9      ADCA    EXT     4       3
BA      ORAA    EXT     4       3
BB      ADDA    EXT     4       3
BC      CPX     EXT     5       3
BD      JSR     EXT     9       3
BE      LDS     EXT     5       3
BF      STS     EXT     6       3
C0      SUBB    IMM     2       2
C1      CMPB    IMM     2       2
C2      SBCB    IMM     2       2
C3      -       -       0       0
C4      ANDB    IMM     2       2
C5      BITB    IMM     2       2
C6      LDAB    IMM     2       2
C7      -       -       0       0
C8      EORB    IMM     2       2
C9      ADCB    IMM     2       2
CA      ORAB    IMM     2       2
CB      ADDB    IMM     2       2
CC      -       -       0       0
CD      -       -       0       0
CE      LDX     IMM     3       3
CF      -       -       0       0
D0      SUBB    DIR     3       2
D1      CMPB    DIR     3       2
D2      SBCB    DIR     3       2
D3      -       -       0       0
D4      ANDB    DIR     3       2
D5      BITB    DIR     3       2
D6      LDAB    DIR     3       2
D7      STAB    DIR     4       2
D8      EORB    DIR     3       2
D9      ADCB    DIR     3       2
DA      ORAB    DIR     3       2
DB      ADDB    DIR     3       2
DC      -       -       0       0
DD      -       -       0       0
DE      LDX     DIR     4       2
DF      STX     DIR     5       2
E0      SUBB    IDX     5       2
E1      CMPB    IDX     5       2
E2      SBCB    IDX     5       2
E3      -       -       0       0
E4      ANDB    IDX     5       2
E5      BITB    IDX     5       2
E6      LDAB    IDX     5       2
E7      STAB    IDX     6       2
E8      EORB    IDX     5       2
E9      ADCB    IDX     5       2
EA      ORAB    IDX     5       2
EB      ADDB    IDX     5       2
EC      -       -       0       0
ED      -       -       0       0
EE      LDX     IDX     6       2
EF      STX     IDX     7       2
F0      SUBB    EXT     4       3
F1      CMPB    EXT     4       3
F2      SBCB    EXT     4       3
F3      -       -       0       0
F4      ANDB    EXT     4       3
F5      BITB    EXT     4       3
F6      LDAB    EXT     4       3
F7      STAB    EXT     5       3
F8      EORB    EXT     4       3
F9      ADCB    EXT     4       3
FA      ORAB    EXT     4       3
FB      ADDB    EXT     4       3
FC      -       -       0       0
FD      -       -       0       0
FE      LDX     EXT     5       3
FF      STX     EXT     6       3
