op  nemo  oper   ~  #  sequence
9A  ORAA  d8     3  2  0:2:D:N
9B  ADDA  d8     3  2  0:2:D:N
9C  CPX   d8     4  2  0:2:D:d:N
9D  JSR   d8     5  2  0:2:x:w:W:i
9E  LDS   d8     4  2  0:2:D:d:N
9F  STS   d8     4  2  0:2:E:e:N
A0  SUBA  n8,X   4  2  0:2:x:R:N
A1  CMPA  n8,X   4  2  0:2:x:R:N
A2  SBCA  n8,X   4  2  0:2:x:R:N
A3  SUBD  n8,X   5  2  0:2:x:R:r:N
A4  ANDA  n8,X   4  2  0:2:x:R:N
A5  BITA  n8,X   4  2  0:2:x:R:N
A6  LDAA  n8,X   4  2  0:2:x:R:N
A7  STAA  n8,X   4  2  0:2:x:W:N
A8  EORA  n8,X   4  2  0:2:x:R:N
A9  ADCA  n8,X   4  2  0:2:x:R:N
AA  ORAA  n8,X   4  2  0:2:x:R:N
AB  ADDA  n8,X   4  2  0:2:x:R:N
AC  CPX   n8,X   5  2  0:2:x:R:r:N
AD  JSR   n8,X   5  2  0:2:x:w:W:i
AE  LDS   n8,X   5  2  0:2:x:R:r:N
AF  STS   n8,X   5  2  0:2:x:W:w:N
B0  SUBA  a16    4  3  0:2:3:A:N
B1  CMPA  a16    4  3  0:2:3:A:N
B2  SBCA  a16    4  3  0:2:3:A:N
B3  SUBD  a16    5  3  0:2:3:A:a:N
B4  ANDA  a16    4  3  0:2:3:A:N
B5  BITA  a16    4  3  0:2:3:A:N
B6  LDAA  a16    4  3  0:2:3:A:N
B7  STAA  a16    4  3  0:2:3:B:N
B8  EORA  a16    4  3  0:2:3:A:N
B9  ADCA  a16    4  3  0:2:3:A:N
BA  ORAA  a16    4  3  0:2:3:A:N
BB  ADDA  a16    4  3  0:2:3:A:N
BC  CPX   a16    5  3  0:2:3:A:a:N
BD  JSR   a16    6  3  0:2:3:x:w:W:J
BE  LDS   a16    5  3  0:2:3:A:a:N
BF  STS   a16    5  3  0:2:3:B:b:N
C0  SUBB  #n8    2  2  0:2:N
C1  CMPB  #n8    2  2  0:2:N
C2  SBCB  #n8    2  2  0:2:N
C3  ADDD  #n16   3  3  0:2:3:N
C4  ANDB  #n8    2  2  0:2:N
C5  BITB  #n8    2  2  0:2:N
C6  LDAB  #n8    2  2  0:2:N
C7  -     -      0  0  -
C8  EORB  #n8    2  2  0:2:N
C9  ADCB  #n8    2  2  0:2:N
CA  ORAB  #n8    2  2  0:2:N
CB  ADDB  #n8    2  2  0:2:N
CC  LDD   #n16   3  3  0:2:3:N
CD  -     -      0  0  -
CE  LDX   #n16   3  3  0:2:3:N
CF  -     -      0  0  -
D0  SUBB  d8     3  2  0:2:D:N
D1  CMPB  d8     3  2  0:2:D:N
D2  SBCB  d8     3  2  0:2:D:N
D3  ADDD  d8     4  2  0:2:D:d:N
D4  ANDB  d8     3  2  0:2:D:N
D5  BITB  d8     3  2  0:2:D:N
D6  LDAB  d8     3  2  0:2:D:N
D7  STAB  d8     3  2  0:2:E:N
D8  EORB  d8     3  2  0:2:D:N
D9  ADCB  d8     3  2  0:2:D:N
DA  ORAB  d8     3  2  0:2:D:N
DB  ADDB  d8     3  2  0:2:D:N
DC  LDD   d8     4  2  0:2:D:d:N
