op  nemo  oper   ~  #  sequence
9D  -     -      0  0  -
9E  LDS   d8     4  2  1:2:D:d:N
9F  STS   d8     5  2  1:2:n:E:e:N
A0  SUBA  n8,X   5  2  1:2:n:n:R:N
A1  CMPA  n8,X   5  2  1:2:n:n:R:N
A2  SBCA  n8,X   5  2  1:2:n:n:R:N
A3  -     -      0  0  -
A4  ANDA  n8,X   5  2  1:2:n:n:R:N
A5  BITA  n8,X   5  2  1:2:n:n:R:N
A6  LDAA  n8,X   5  2  1:2:n:n:R:N
A7  STAA  n8,X   6  2  1:2:n:n:n:W:N
A8  EORA  n8,X   5  2  1:2:n:n:R:N
A9  ADCA  n8,X   5  2  1:2:n:n:R:N
AA  ORAA  n8,X   5  2  1:2:n:n:R:N
AB  ADDA  n8,X   5  2  1:2:n:n:R:N
AC  CPX   n8,X   6  2  1:2:n:n:R:r:N
AD  JSR   n8,X   8  2  1:2:n:w:W:n:n:n:i
AE  LDS   n8,X   6  2  1:2:n:n:R:r:N
AF  STS   n8,X   7  2  1:2:n:n:n:W:w:N
B0  SUBA  a16    4  3  1:2:3:A:N
B1  CMPA  a16    4  3  1:2:3:A:N
B2  SBCA  a16    4  3  1:2:3:A:N
B3  -     -      0  0  -
B4  ANDA  a16    4  3  1:2:3:A:N
B5  BITA  a16    4  3  1:2:3:A:N
B6  LDAA  a16    4  3  1:2:3:A:N
B7  STAA  a16    5  3  1:2:3:n:B:N
B8  EORA  a16    4  3  1:2:3:A:N
B9  ADCA  a16    4  3  1:2:3:A:N
BA  ORAA  a16    4  3  1:2:3:A:N
BB  ADDA  a16    4  3  1:2:3:A:N
BC  CPX   a16    5  3  1:2:3:A:a:N
BD  JSR   a16    9  3  1:2:3:A:w:W:n:n:X:J
BE  LDS   a16    5  3  1:2:3:A:a:N
BF  STS   a16    6  3  1:2:3:n:B:b:N
C0  SUBB  #n8    2  2  1:2:N
C1  CMPB  #n8    2  2  1:2:N
C2  SBCB  #n8    2  2  1:2:N
C3  -     -      0  0  -
C4  ANDB  #n8    2  2  1:2:N
C5  BITB  #n8    2  2  1:2:N
C6  LDAB  #n8    2  2  1:2:N
C7  -     -      0  0  -
C8  EORB  #n8    2  2  1:2:N
C9  ADCB  #n8    2  2  1:2:N
CA  ORAB  #n8    2  2  1:2:N
CB  ADDB  #n8    2  2  1:2:N
CC  -     -      0  0  -
CD  -     -      0  0  -
CE  LDX   #n16   3  3  1:2:3:N
CF  -     -      0  0  -
D0  SUBB  d8     3  2  1:2:D:N
D1  CMPB  d8     3  2  1:2:D:N
D2  SBCB  d8     3  2  1:2:D:N
D3  -     -      0  0  -
D4  ANDB  d8     3  2  1:2:D:N
D5  BITB  d8     3  2  1:2:D:N
D6  LDAB  d8     3  2  1:2:D:N
D7  STAB  d8     4  2  1:2:n:E:N
D8  EORB  d8     3  2  1:2:D:N
D9  ADCB  d8     3  2  1:2:D:N
DA  ORAB  d8     3  2  1:2:D:N
DB  ADDB  d8     3  2  1:2:D:N
DC  -     -      0  0  -
DD  -     -      0  0  -
DE  LDX   d8     4  2  1:2:D:d:N
DF  STX   d8     5  2  1:2:n:E:e:N
E0  SUBB  n8,X   5  2  1:2:n:n:R:N
E1  CMPB  n8,X   5  2  1:2:n:n:R:N
E2  SBCB  n8,X   5  2  1:2:n:n:R:N
E3  -     -      0  0  -
