op nemo operand  mode clock  # cycle       sequence
81 LD   EA,d,SP  DISP 10     2 12RrN@12N   1:2:R:r:N
82 LD   EA,d,P2  DISP 10     2 12RrN@12N   1:2:R:r:N
83 LD   EA,d,P3  DISP 10     2 12RrN@12N   1:2:R:r:N
84 LD   EA,=nn   -    8      3 123N        1:2:3:N
85 LD   EA,n     DIR  10     2 12EeN@12N   1:2:E:e:N
86 LD   EA,@d,P2 AUTO 12     2 12RrN@12N   1:2:R:r:N
87 LD   EA,@d,P3 AUTO 12     2 12RrN@12N   1:2:R:r:N
88 ST   EA,d,PC  DISP 10     2 12XxN@12N   1:2:X:x:N
89 ST   EA,d,SP  DISP 10     2 12WwN@12N   1:2:W:w:N
8A ST   EA,d,P2  DISP 10     2 12WwN@12N   1:2:W:w:N
8B ST   EA,d,P3  DISP 10     2 12WwN@12N   1:2:W:w:N
8C -    -        -    -      - -           -
8D ST   EA,n     DIR  10     2 12FfN@12N   1:2:F:f:N
8E ST   EA,@d,P2 AUTO 12     2 12WwN@12N   1:2:W:w:N
8F ST   EA,@d,P3 AUTO 12     2 12WwN@12N   1:2:W:w:N
90 ILD  A,d,PC   DISP 8      2 12QXN@12N   1:2:Q:X:N
91 ILD  A,d,SP   DISP 8      2 12RWN@12N   1:2:R:W:N
92 ILD  A,d,P2   DISP 8      2 12RWN@12N   1:2:R:W:N
93 ILD  A,d,P3   DISP 8      2 12RWN@12N   1:2:R:W:N
94 -    -        -    -      - -           -
95 ILD  A,n      DIR  8      2 12EFN@12N   1:2:E:F:N
96 ILD  A,@d,P2  AUTO 10     2 12RWN@12N   1:2:R:W:N
97 ILD  A,@d,P3  AUTO 10     2 12RWN@12N   1:2:R:W:N
98 DLD  A,d,PC   DISP 8      2 12QXN@12N   1:2:Q:X:N
99 DLD  A,d,SP   DISP 8      2 12RWN@12N   1:2:R:W:N
9A DLD  A,d,P2   DISP 8      2 12RWN@12N   1:2:R:W:N
9B DLD  A,d,P3   DISP 8      2 12RWN@12N   1:2:R:W:N
9C -    -        -    -      - -           -
9D DLD  A,n      DIR  8      2 12EFN@12N   1:2:E:F:N
9E DLD  A,@d,P2  AUTO 10     2 12RWN@12N   1:2:R:W:N
9F DLD  A,@d,P3  AUTO 10     2 12RWN@12N   1:2:R:W:N
A0 LD   T,d,PC   DISP 10     2 12QqN@12N   1:2:Q:q:N
A1 LD   T,d,SP   DISP 10     2 12RrN@12N   1:2:R:r:N
A2 LD   T,d,P2   DISP 10     2 12RrN@12N   1:2:R:r:N
A3 LD   T,d,P3   DISP 10     2 12RrN@12N   1:2:R:r:N
A4 LD   T,=nn    -    8      3 123N        1:2:3:N
A5 LD   T,n      DIR  10     2 12EeN@12N   1:2:E:e:N
A6 LD   T,@d,P2  AUTO 12     2 12RrN@12N   1:2:R:r:N
A7 LD   T,@d,P3  AUTO 12     2 12RrN@12N   1:2:R:r:N
A8 -    -        -    -      - -           -
A9 -    -        -    -      - -           -
AA -    -        -    -      - -           -
AB -    -        -    -      - -           -
AC -    -        -    -      - -           -
AD -    -        -    -      - -           -
AE -    -        -    -      - -           -
AF -    -        -    -      - -           -
B0 ADD  EA,d,PC  DISP 10     2 12QqN@12N   1:2:Q:q:N
B1 ADD  EA,d,SP  DISP 10     2 12RrN@12N   1:2:R:r:N
B2 ADD  EA,d,P2  DISP 10     2 12RrN@12N   1:2:R:r:N
B3 ADD  EA,d,P3  DISP 10     2 12RrN@12N   1:2:R:r:N
B4 ADD  EA,=nn   -    8      3 123N        1:2:3:N
B5 ADD  EA,n     DIR  10     2 12EeN@12N   1:2:E:e:N
B6 ADD  EA,@d,P2 AUTO 12     2 12RrN@12N   1:2:R:r:N
B7 ADD  EA,@d,P3 AUTO 12     2 12RrN@12N   1:2:R:r:N
B8 SUB  EA,d,PC  DISP 10     2 12QqN@12N   1:2:Q:q:N
B9 SUB  EA,d,SP  DISP 10     2 12RrN@12N   1:2:R:r:N
BA SUB  EA,d,P2  DISP 10     2 12RrN@12N   1:2:R:r:N
BB SUB  EA,d,P3  DISP 10     2 12RrN@12N   1:2:R:r:N
BC SUB  EA,=nn   -    8      3 123N        1:2:3:N
BD SUB  EA,n     DIR  10     2 12EeN@12N   1:2:E:e:N
BE SUB  EA,@d,P2 AUTO 12     2 12RrN@12N   1:2:R:r:N
BF SUB  EA,@d,P3 AUTO 12     2 12RrN@12N   1:2:R:r:N
C0 LD   A,d,PC   DISP 7      2 12QN@12N    1:2:Q:N
C1 LD   A,d,SP   DISP 7      2 12RN@12N    1:2:R:N
C2 LD   A,d,P2   DISP 7      2 12RN@12N    1:2:R:N
C3 LD   A,d,P3   DISP 7      2 12RN@12N    1:2:R:N
C4 LD   A,=n     -    5      2 12N         1:2:N
C5 LD   A,n      DIR  7      2 12EN@12N    1:2:E:N
C6 LD   A,@d,P2  AUTO 9      2 12RN@12N    1:2:R:N
C7 LD   A,@d,P3  AUTO 9      2 12RN@12N    1:2:R:N
C8 ST   A,d,PC   DISP 7      2 12XN@12N    1:2:X:N
C9 ST   A,d,SP   DISP 7      2 12WN@12N    1:2:W:N
CA ST   A,d,P2   DISP 7      2 12WN@12N    1:2:W:N
CB ST   A,d,P3   DISP 7      2 12WN@12N    1:2:W:N
CC -    -        -    -      - -           -
CD ST   A,n      DIR  7      2 12FN@12N    1:2:F:N
CE ST   A,@d,P2  AUTO 9      2 12WN@12N    1:2:W:N
CF ST   A,@d,P3  AUTO 9      2 12WN@12N    1:2:W:N
D0 AND  A,d,PC   DISP 7      2 12QN@12N    1:2:Q:N
D1 AND  A,d,SP   DISP 7      2 12RN@12N    1:2:R:N
D2 AND  A,d,P2   DISP 7      2 12RN@12N    1:2:R:N
D3 AND  A,d,P3   DISP 7      2 12RN@12N    1:2:R:N
D4 AND  A,=n     -    5      2 12N         1:2:N
D5 AND  A,n      DIR  7      2 12EN@12N    1:2:E:N
D6 AND  A,@d,P2  AUTO 9      2 12RN@12N    1:2:R:N
D7 AND  A,@d,P3  AUTO 9      2 12RN@12N    1:2:R:N
D8 OR   A,d,PC   DISP 7      2 12QN@12N    1:2:Q:N
D9 OR   A,d,SP   DISP 7      2 12RN@12N    1:2:R:N
DA OR   A,d,P2   DISP 7      2 12RN@12N    1:2:R:N
DB OR   A,d,P3   DISP 7      2 12RN@12N    1:2:R:N
DC OR   A,=n     -    5      2 12N         1:2:N
DD OR   A,n      DIR  7      2 12EN@12N    1:2:E:N
DE OR   A,@d,P2  AUTO 9      2 12RN@12N    1:2:R:N
DF OR   A,@d,P3  AUTO 9      2 12RN@12N    1:2:R:N
E0 XOR  A,d,PC   DISP 7      2 12RQ@12N    1:2:Q:N
E1 XOR  A,d,SP   DISP 7      2 12RN@12N    1:2:R:N
E2 XOR  A,d,P2   DISP 7      2 12RN@12N    1:2:R:N
E3 XOR  A,d,P3   DISP 7      2 12RN@12N    1:2:R:N
E4 XOR  A,=n     -    5      2 12N         1:2:N
E5 XOR  A,n      DIR  7      2 12EN@12N    1:2:E:N
E6 XOR  A,@d,P2  AUTO 9      2 12RN@12N    1:2:R:N
E7 XOR  A,@d,P3  AUTO 9      2 12RN@12N    1:2:R:N
E8 -    -        -    -      - -           
E9 -    -        -    -      - -           
EA -    -        -    -      - -           
EB -    -        -    -      - -           
EC -    -        -    -      - -           
ED -    -        -    -      - -           
EE -    -        -    -      - -           
EF -    -        -    -      - -           
F0 ADD  A,d,PC   DISP 7      2 12QN@12N    1:2:Q:N
F1 ADD  A,d,SP   DISP 7      2 12RN@12N    1:2:R:N
F2 ADD  A,d,P2   DISP 7      2 12RN@12N    1:2:R:N
F3 ADD  A,d,P3   DISP 7      2 12RN@12N    1:2:R:N
F4 ADD  A,=n     -    5      2 12N         1:2:N
F5 ADD  A,n      DIR  7      2 12EN@12N    1:2:E:N
F6 ADD  A,@d,P2  AUTO 9      2 12RN@12N    1:2:R:N
F7 ADD  A,@d,P3  AUTO 9      2 12RN@12N    1:2:R:N
F8 SUB  A,Q,PC   DISP 7      2 12RN@12N    1:2:Q:N
F9 SUB  A,d,SP   DISP 7      2 12RN@12N    1:2:R:N
FA SUB  A,d,P2   DISP 7      2 12RN@12N    1:2:R:N
FB SUB  A,d,P3   DISP 7      2 12RN@12N    1:2:R:N
FC SUB  A,=n     -    5      2 12N         1:2:N
FD SUB  A,n      DIR  7      2 12EN@12N    1:2:E:N
FE SUB  A,@d,P2  AUTO 9      2 12RN@12N    1:2:R:N
FF SUB  A,@d,P3  AUTO 9      2 12RN@12N    1:2:R:N
